Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:53iuhJlwXhSER5J2IYYv1W,"The Fate of Ophelia","The Life of a Showgirl","Taylor Swift",2025-10-03,226073,100,false,,2025-12-11T13:55:00Z,"","Taylor Swift",0.726,0.598,5,-5.179,1,0.0291,0.265,0,0.102,0.519,123.921,4
spotify:track:0bYg9bo50gSsH3LtXe2SQn,"All I Want for Christmas Is You","Merry Christmas","Mariah Carey",1994-10-28,241562,97,false,,2025-12-11T13:55:00Z,"navidad","Columbia",0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,4
spotify:track:2FRnf9qhLbvw8fu4IBXx78,"Last Christmas","LAST CHRISTMAS","Wham!",1984-11-29,262960,95,false,,2025-12-11T13:55:00Z,"navidad","Epic",0.735,0.478,2,-12.472,1,0.0293,0.189,0.00000248,0.355,0.947,107.682,4
spotify:track:2EjXfH91m7f8HiJN1yQg97,"Rockin' Around The Christmas Tree","Merry Christmas From Brenda Lee","Brenda Lee",1964-10-19,126266,95,false,,2025-12-11T13:55:00Z,"navidad","MCA Nashville",0.598,0.47,8,-8.744,1,0.0496,0.617,0,0.505,0.879,67.086,4
spotify:track:1CPZ5BxNNd0n0nF4Orb9JS,"Golden","KPop Demon Hunters (Soundtrack from the Netflix Film)","HUNTR/X;EJAE;AUDREY NUNA;REI AMI;KPop Demon Hunters Cast",2025-06-20,194607,98,false,,2025-12-11T13:55:00Z,"k-pop","K-Pop Demon Hunters",0.651,0.686,4,-4.371,0,0.0616,0.0966,0,0.185,0.104,122.715,3
spotify:track:7vQbuQcyTflfCIOu3Uzzya,"Jingle Bell Rock","Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol)","Bobby Helms",1957-12-02,130973,93,false,,2025-12-11T13:55:00Z,"navidad,villancicos","Geffen",0.754,0.424,2,-8.463,1,0.0363,0.643,0,0.0652,0.806,119.705,4
spotify:track:7qjZnBKE73H4Oxkopwulqe,"back to friends","I Barely Know Her","sombr",2025-08-22,199032,92,false,,2025-12-11T13:55:00Z,"","Warner Records",0.436,0.723,1,-2.291,1,0.0301,0.0000937,0.0000882,0.0929,0.235,92.855,4
spotify:track:1qbmS6ep2hbBRaEZFpn7BX,"Man I Need","Man I Need","Olivia Dean",2025-08-15,184000,97,false,,2025-12-11T13:55:00Z,"pop soul","PLG - Capitol",0.808,0.593,1,-7.27,1,0.0714,0.488,0.000451,0.0933,0.688,119.008,4
spotify:track:0lizgQ7Qw35od7CYaoMBZb,"Santa Tell Me","Santa Tell Me","Ariana Grande",2014-11-24,204093,94,false,,2025-12-11T13:55:00Z,"pop","Universal Records",0.525,0.621,7,-7.364,1,0.117,0.0489,0,0.291,0.592,191.868,4
spotify:track:3qhlB30KknSejmIvZZLjOD,"End of Beginning","DECIDE","Djo",2022-09-16,159245,93,false,,2025-12-11T13:55:00Z,"","Djo",0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ,"Ordinary","You'll Be Alright, Kid (Chapter 1)","Alex Warren",2024-09-26,186964,92,false,,2025-12-11T13:55:00Z,"","Atlantic Records",0.368,0.694,2,-6.141,1,0.06,0.704,0.00000659,0.055,0.391,168.115,3
spotify:track:7uoFMmxln0GPXQ0AcCBXRq,"Snowman","Everyday Is Christmas (Deluxe Edition)","Sia",2018-11-01,165900,93,false,,2025-12-11T13:55:00Z,"","Monkey Puzzle/Atlantic",0.717,0.524,1,-6.222,1,0.0331,0.426,0,0.0932,0.339,104.953,3
spotify:track:6sGIMrtIzQjdzNndVxe397,"So Easy (To Fall In Love)","The Art of Loving","Olivia Dean",2025-09-26,169000,95,false,,2025-12-11T13:55:00Z,"pop soul","PLG - Capitol",0.749,0.633,3,-5.917,1,0.0373,0.665,0,0.0817,0.572,139.898,4
spotify:track:3nAp4IvdMPPWEH9uuXFFV5,"Underneath the Tree","Wrapped In Red","Kelly Clarkson",2013-10-25,229638,90,false,,2025-12-11T13:55:00Z,"navidad","RCA Records Label",0.509,0.812,8,-5.438,1,0.0537,0.0013,0.0000199,0.214,0.689,159.876,4
spotify:track:55lijDD6OAjLFFUHU9tcDm,"WHERE IS MY HUSBAND!","WHERE IS MY HUSBAND!","RAYE",2025-09-19,196795,95,false,,2025-12-11T13:55:00Z,"","Human Re Sources",0.39,0.781,8,-7.04,1,0.0918,0.0599,0,0.14,0.628,115.939,4
spotify:track:2uFaJJtFpPDc5Pa95XzTvg,"Let It Snow! Let It Snow! Let It Snow!","A Winter Romance","Dean Martin",1959-01-01,117146,92,false,,2025-12-11T13:55:00Z,"navidad,adult standards,big band,swing","Capitol Records",0.451,0.241,1,-14.014,1,0.0352,0.912,0.00000266,0.175,0.698,134.009,4
spotify:track:1IcR6RlgvDczfvoWJSSY2A,"It's the Most Wonderful Time of the Year","The Andy Williams Christmas Album","Andy Williams",1963,151000,80,false,,2025-12-11T13:55:00Z,"navidad,adult standards","Columbia",0.234,0.526,2,-11.656,1,0.0411,0.871,0.00000234,0.122,0.649,201.739,3
spotify:track:7so0lgd0zP2Sbgs2d7a1SZ,"Die With A Smile","MAYHEM","Lady Gaga;Bruno Mars",2025-03-07,251667,88,false,,2025-12-11T13:55:00Z,"art pop,pop","Interscope Records",0.519,0.601,6,-7.727,0,0.0317,0.289,0,0.126,0.498,157.964,3
spotify:track:6dOtVTDdiauQNBQEDOtlAB,"BIRDS OF A FEATHER","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,210373,95,false,,2025-12-11T13:55:00Z,"","Darkroom/Interscope Records",0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
spotify:track:3it2BvJfyhPEWF3kD2TZJ1,"It's Beginning to Look a Lot like Christmas","Christmas (Deluxe 10th Anniversary Edition)","Michael Bublé",2024-12-05,207199,89,false,,2025-12-11T13:55:00Z,"navidad","Reprise",0.34,0.222,4,-11.255,1,0.0339,0.882,0.00000512,0.343,0.345,91.777,3
spotify:track:1JSTJqkT5qHq8MDJnJbRE1,"Every Breath You Take","Synchronicity (Remastered 2003)","The Police",1983-06-17,253920,93,false,,2025-12-11T13:55:00Z,"","Polydor Records",0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4
spotify:track:0oPdaY4dXtc3ZsaG17V972,"Feliz Navidad","Feliz Navidad","José Feliciano",2002-09-24,181794,85,false,,2025-12-11T13:55:00Z,"navidad,villancicos,bolero","RCA/BMG Heritage",0.513,0.831,2,-9.004,1,0.0383,0.55,0,0.336,0.963,148.837,4
spotify:track:4VxTzYm00mg82MuoT35Ja7,"CHANEL","CHANEL","Tyla",2025-10-24,188059,90,true,,2025-12-11T13:55:00Z,"afrobeats","Epic",0.861,0.77,11,-4.977,0,0.0529,0.133,0,0.446,0.883,114.958,4
spotify:track:3yWuTOYDztXjZxdE2cIRUa,"Opalite","The Life of a Showgirl","Taylor Swift",2025-10-03,235355,95,false,,2025-12-11T13:55:00Z,"","Taylor Swift",0.806,0.819,4,-5.033,0,0.0384,0.0784,0,0.0371,0.802,124.994,4
spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,"Iris","Dizzy up the Girl","The Goo Goo Dolls",1998,289533,93,false,,2025-12-11T13:55:00Z,"","Warner Records",0.315,0.715,11,-8.072,0,0.0362,0.00125,0.00000797,0.0942,0.497,155.925,3
spotify:track:54K9GOVJqIaDZNXLnnxiKc,"Mistletoe","Under The Mistletoe","Justin Bieber",2011-01-01,182946,68,false,,2025-12-11T13:55:00Z,"","RBMG/Def Jam",0.658,0.56,6,-9.049,0,0.0467,0.498,0,0.0794,0.854,161.993,4
spotify:track:44xDy4h27s4ENaC8fKnCoC,"Cuando No Era Cantante","No Hay Loco Que No Corone","El Bogueto;Yung Beef",2024-09-26,211084,91,true,,2025-12-11T13:55:00Z,"reggaetón mexa,reggaetón,neoperreo","Candela Music",0.742,0.801,11,-5.612,0,0.0495,0.226,0.0000117,0.0595,0.759,165.969,4
spotify:track:7fUYUcWy853HS8YJn0b3Sr,"Sleigh Ride","Sleigh Ride","The Ronettes",2020-12-04,181266,79,false,,2025-12-11T13:55:00Z,"navidad","Legacy Recordings",0.529,0.772,2,-7.013,1,0.0287,0.403,0.00000221,0.316,0.853,91.751,4
spotify:track:21IYMdzTrzSe191Cy5eMap,"Sailor Song","At The Beach, In Every Life","Gigi Perez",2025-04-25,211978,87,false,,2025-12-11T13:55:00Z,"","Outtahere, LLC / Island Records",0.499,0.392,11,-10.441,1,0.0262,0.627,0.000071,0.192,0.272,95.076,4
spotify:track:5humEOJehpAwMJEJmb0JJ2,"The Christmas Song (Merry Christmas To You)","The Nat King Cole Story","Nat King Cole",1961-09-25,190973,81,false,,2025-12-11T13:55:00Z,"navidad,adult standards,vocal jazz","Capitol Records",0.283,0.095,1,-17.828,1,0.0398,0.904,0.0000336,0.128,0.187,66.862,4
